ticket_id,date_opened,channel,issue_type,time_to_resolution,status
9aeb23d3-0701-40a1-9194-0340380f2d81,2025-04-20,Phone,Tech,54,Reopened
4bf66ca0-be30-4f64-af24-04470ca30ba6,2025-07-27,App,Tech,6,Resolved
3e459fd1-1b2e-49e6-94fe-edc6027ba966,2025-08-28,Phone,Tech,24,Escalated
0c62809e-0cb7-49c9-a305-891ee953a976,2025-05-25,App,Block Card,31,Resolved
d3fbfb28-924c-4316-95c0-47f4fc8dc7c1,2025-01-02,Website,Block Card,22,Resolved
16ebd0c2-3ae4-49ec-879f-87de53b310f0,2025-01-21,App,Refund,60,Reopened
c730f85d-eb21-4e66-a94d-75da02abc18b,2025-01-15,Website,Limit,53,Escalated
1dfd786c-383d-4a59-80fc-9f35ba9ca335,2025-06-19,App,Refund,70,Escalated
7559bc3a-6aaf-4bca-b0b7-753ba18333b6,2025-07-24,Phone,Refund,60,Reopened
51666490-a41c-48f4-abc2-0046c0768b1d,2025-02-05,App,Block Card,53,Reopened
d7135ea4-6ae9-41ff-bb01-8b68ccc29ba1,2025-05-01,App,Limit,24,Escalated
9eade566-37b3-4252-8f9f-0f4861bfa224,2025-06-22,App,Tech,39,Reopened
86b141e7-cc41-4999-b4a1-7b7b17a51ad8,2025-04-16,App,Block Card,61,Reopened
ba436b5a-4ca5-4b75-be27-9f48c6bdde5e,2025-04-05,App,Block Card,57,Reopened
7c85e6cc-296c-494b-9abb-2be13dbd0347,2025-04-04,App,Tech,27,Resolved
adea2114-0c45-43ca-80be-50991a6f81f1,2025-02-23,Phone,Limit,25,Resolved
461076fe-aaf6-4770-85a5-1ae0337cca14,2025-03-17,App,Limit,5,Escalated
66702a35-9e43-4667-b457-7645d60be0a4,2025-04-21,Phone,Refund,7,Escalated
3ef5fa71-fe32-44a1-b972-b5c779d505b7,2025-06-14,App,Tech,60,Resolved
3af358a8-9292-4de3-9fa8-f6f23070c36f,2025-03-11,Website,Refund,21,Reopened
226c4ae7-0cb8-4699-adcb-203583da9ba7,2025-07-03,Website,Refund,18,Reopened
774bbb09-b834-4079-bb46-915d664b7f5d,2025-03-05,Website,Block Card,7,Escalated
3b34b789-aa6b-4362-837d-d42416c330d1,2025-08-31,Website,Tech,45,Escalated
3f034c13-5eac-4d95-8625-7c0063d3c09a,2025-09-17,Phone,Limit,5,Resolved
295cbcbc-9f82-4df6-8a66-f602b96e9c2c,2025-03-18,App,Refund,32,Resolved
30a34887-8354-4a44-a63e-bdbd0f9b82b5,2025-03-07,Phone,Block Card,25,Resolved
182b7954-48ae-4f61-a647-8556bc78fc81,2025-04-04,Website,Tech,58,Reopened
73c30363-049c-46ac-869e-a290e235dfee,2025-05-10,Phone,Refund,58,Resolved
7640cedc-03b3-408d-9d24-09f1b030b39b,2025-03-17,Website,Refund,45,Reopened
ae2494ab-3f12-4319-86bb-e7ad19c004a1,2025-01-25,App,Tech,5,Reopened
f7842561-01eb-4538-b4d1-4a876ad900d2,2025-08-29,Website,Limit,70,Reopened
674e2d23-088c-43e7-b326-570cd8ea58ac,2025-01-27,App,Limit,14,Resolved
8fea99da-f3d5-4283-af75-d5dfb5ba9123,2025-08-16,Phone,Refund,1,Reopened
4be5c844-c4d9-499a-8ecd-52f5a8c2889d,2025-06-12,App,Block Card,2,Reopened
a4ee549e-4c37-45e6-b69b-2c106d9393d1,2025-03-11,App,Refund,41,Reopened
06833197-d64b-4a37-9477-7d964d1147d2,2025-06-02,App,Limit,63,Resolved
befb963f-9120-46da-b1cd-754e0785d882,2025-02-23,Phone,Limit,64,Escalated
dbfc7df7-b2cb-4fd7-a3da-2686d586cf4f,2025-03-11,App,Block Card,61,Resolved
ca127d29-d7b2-435a-a096-5856f4182dff,2025-02-01,App,Limit,44,Escalated
42eb9540-2b8e-478d-b81a-95368d7b2dd5,2025-05-02,Website,Refund,46,Resolved
dfa8bf0a-89d9-4e7f-b768-be3e41b881a4,2025-08-05,Phone,Tech,17,Resolved
f08f90a6-2116-464d-9c8d-5c9f809a1666,2025-06-18,App,Tech,26,Escalated
4fd79ce5-f84b-46f6-a6df-133b7f6aeb52,2025-02-06,Phone,Tech,45,Escalated
0f1487a5-d1ef-4790-91bb-9a07a4694908,2025-01-04,Phone,Tech,8,Escalated
bae67d47-52e8-40ea-b241-363d0604470a,2025-03-09,App,Tech,4,Resolved
99f484d5-53d2-457c-a147-945ac3121642,2025-08-13,Phone,Tech,63,Escalated
1bd214fc-cd73-4913-984a-aadd0b63ea66,2025-10-03,App,Tech,15,Resolved
b76781c7-aac5-449d-bd10-fc492bc2cae4,2025-06-30,Website,Tech,7,Reopened
82ee9807-b021-4b4f-b65d-8ee68a90fd65,2025-06-13,App,Tech,19,Resolved
0abcf8bd-6e9c-42e8-9b4c-33c69e0036db,2025-09-14,Website,Tech,31,Escalated
adff1703-73ec-4695-a01a-51f60cb598a2,2025-10-01,Phone,Block Card,17,Resolved
c02ea6da-e998-48a8-9b13-2eda82c2eb24,2025-03-11,App,Tech,72,Reopened
363d1e44-0130-41b0-b618-16b1f7db06b6,2025-03-15,Phone,Tech,12,Reopened
2b1fcff3-9339-405d-a298-f4ac2b1d818b,2025-01-27,App,Limit,27,Resolved
37fe9ff1-e80b-441d-bdea-a2d10fa1684c,2025-05-05,Website,Tech,43,Escalated
b16655d5-3e76-45a9-a870-c51657cc00f0,2025-06-02,Phone,Refund,29,Reopened
7bbefcd2-0466-481c-8377-8fb3cd23e82e,2025-06-24,Website,Block Card,3,Reopened
03df419b-a68c-4a7d-af12-b1382512410f,2025-08-01,Website,Refund,64,Resolved
0d8e4ef4-1d9f-4891-a9bd-54c29da44219,2025-01-02,Website,Refund,3,Escalated
2b60a386-bdbd-41b8-a5fe-43286239b0ba,2025-05-14,Phone,Tech,15,Escalated
dcefc958-356d-42cd-bc31-89d3cbfdbc2f,2025-09-03,App,Limit,4,Escalated
5f279da4-5a3c-493b-b5d9-b8b29654b0e4,2025-08-23,App,Limit,11,Escalated
7190ff82-c584-4226-b08c-879deae8c7aa,2025-09-14,App,Refund,28,Resolved
5087a1f3-2963-4505-9fce-e151ffe314cd,2025-06-29,Phone,Refund,52,Reopened
ce2ce5f6-f213-4735-9d38-9a7dd6988edf,2025-04-12,Phone,Limit,60,Escalated
be44d814-c9aa-434f-a7d7-be6ec5e2279e,2025-01-17,App,Tech,56,Reopened
315a8c0d-66c1-4bbd-9ea4-d3d64bc040b9,2025-04-21,Website,Refund,72,Reopened
15e4a134-7918-47a5-bbf4-0648a76a95f5,2025-07-03,App,Refund,70,Reopened
fa1c30f7-a133-4d3a-b32b-41741318cf59,2025-06-19,Website,Block Card,45,Resolved
7c8a9385-ea32-48b0-970f-e7b5d2fbbe8f,2025-06-21,App,Tech,3,Reopened
bdd036a1-44f6-4502-b379-b2422025b914,2025-08-29,Phone,Block Card,30,Escalated
0d5a082e-6c60-487b-a1dd-37344bf33c5d,2025-07-07,Website,Block Card,9,Resolved
49eb8653-8161-4c80-8156-a0e7f33ac82b,2025-05-05,Website,Tech,27,Resolved
b6601ae4-3965-4938-b7e2-51e583a0e42d,2025-04-20,App,Limit,66,Resolved
89ecb1bc-f096-4d1a-81f2-91720679a1a7,2025-08-16,Website,Limit,72,Resolved
a5c01a76-d1a8-4a44-b8ed-d4b92ac50fdb,2025-07-14,App,Tech,29,Reopened
fbc2288d-0056-4b89-9065-bc89cf09a86d,2025-04-01,App,Tech,11,Escalated
88670565-4992-495e-8a9f-a55d3ebfdd39,2025-05-03,App,Block Card,48,Escalated
1906d236-a88d-4efc-90a3-b690d73d91b7,2025-04-29,App,Limit,30,Reopened
960a4dc2-bc81-4e08-8db8-9d52e7f08a74,2025-01-17,Phone,Block Card,40,Escalated
22bd24b3-3817-4194-9b72-6e57672b68d0,2025-06-03,Phone,Tech,43,Escalated
bcaf9597-b026-418d-ab1f-7fb54170b8f6,2025-02-07,App,Tech,50,Reopened
827b6c22-d226-473a-999d-9d2a494e0203,2025-01-01,App,Refund,14,Reopened
9d5825ea-84fc-4423-939b-220f467d4b8b,2025-01-01,App,Tech,60,Escalated
8302d600-34e1-4bfb-b224-4bea698043b9,2025-07-07,Phone,Block Card,12,Escalated
8139e47b-01a6-4300-b5ae-4e2741325b8b,2025-03-08,App,Block Card,27,Escalated
7bad7640-4463-40ec-a846-1ee329a67ccc,2025-06-27,Website,Refund,57,Reopened
851b62b1-1f5f-4230-a810-28c915ccb24a,2025-02-24,Website,Tech,39,Escalated
c6158f8f-fce1-4a18-9d0d-4ba27a1038e0,2025-02-19,App,Block Card,60,Reopened
20306056-1097-47d0-8c69-abb87ca2c88e,2025-02-15,Website,Limit,41,Reopened
b8d0dc35-0282-47e0-808e-06db41b21f60,2025-04-17,Website,Tech,43,Reopened
7315e199-3e23-4a11-8a8b-c900810c9f7b,2025-02-18,App,Refund,44,Reopened
b26db002-2bbd-4815-82f3-4bd62b71fc89,2025-01-23,Phone,Limit,24,Reopened
da8e2ae7-6678-4bf9-80bd-8b0f050ad4fa,2025-04-07,Phone,Block Card,19,Resolved
dc3eeedc-8543-481d-a21d-0a8725f97438,2025-03-08,Phone,Limit,52,Escalated
bd3cdc23-3b50-4e2f-b430-a62acdd9b2e1,2025-05-09,Website,Refund,11,Resolved
7e3e4522-8608-41aa-8fc7-c3104dd2da81,2025-03-02,Website,Tech,9,Escalated
1e874cee-d0c7-4e12-964b-c1b26cee8e44,2025-06-04,Phone,Tech,54,Resolved
0f7dc915-7248-43f2-bfb9-84ed628fdd8f,2025-09-11,App,Limit,61,Resolved
4a3d9e1b-99e9-4303-a73f-024ab46cc124,2025-02-08,App,Tech,53,Reopened
b7d2324a-b7d7-4770-9fa9-3c6dee376af9,2025-07-11,App,Refund,27,Resolved
a705c73c-b413-4077-8b1d-77ae814f2816,2025-09-28,Phone,Block Card,58,Resolved
54014c53-cfa0-458c-8b57-95d250fc5a1e,2025-03-15,Phone,Limit,66,Reopened
1c05d6e8-1519-4037-a180-b1f4d86b6926,2025-03-02,App,Tech,33,Escalated
4e3408ae-c5b7-4bc2-b7e6-da4dc3e85b1e,2025-01-29,Website,Limit,48,Reopened
6f75f4d0-8b0f-49a9-9dbf-dbb19d1559b7,2025-04-15,App,Limit,50,Reopened
9d16e84e-c481-4239-831f-7367c4c21cb2,2025-08-26,Website,Refund,6,Reopened
ab14426e-5e62-4b7c-aae2-d4f6f0c86b6b,2025-09-03,App,Refund,41,Reopened
9d287fcd-5775-4b2a-847e-92eb43b08632,2025-07-06,App,Tech,11,Reopened
1746012c-150c-4dce-9637-a004d63110da,2025-07-12,Phone,Tech,1,Escalated
